hand,synonyms,YOUR NAME,1,2,3,4,5,6,7,TARGET ADJECTIVE,ANSWERS
"['Kickball', 'The_French_Riviera', 'The_Godfather', 'Roller_Coaster', 'Riding_A_Bike', 'Prince_Charming', 'Discos']","['demanding', 'exhausting', 'strenuous']",,Kickball,The_French_Riviera,The_Godfather,Roller_Coaster,Riding_A_Bike,Prince_Charming,Discos,Grueling,45
"['Count_Dracula', 'Hammer_and_Nails', 'Jell-O', 'Winning_The_Lottery', 'Hummingbirds', 'Ice', 'Local_Police']","['thoughtful', 'contemplative', 'wise']",,Count_Dracula,Hammer_and_Nails,Jell-O,Winning_The_Lottery,Hummingbirds,Ice,Local_Police,Philosophical,1
"['Sports_Channels', 'Hook_and_Ladder_Trucks', 'Waffles', 'Starfish', 'The_YMCA', 'Pigeons', 'Burned_Toast']","['gummy', 'rubbery', 'stringy']",,Sports_Channels,Hook_and_Ladder_Trucks,Waffles,Starfish,The_YMCA,Pigeons,Burned_Toast,Chewy,37
"['Flannel_Shirts', 'Strawberries', 'Stretch_Limos', 'Pail_and_Shovel', 'The_Land_Of_Oz', 'Bumper_Stickers', 'Monkeys']","['fragile', 'weak']",,Flannel_Shirts,Strawberries,Stretch_Limos,Pail_and_Shovel,The_Land_Of_Oz,Bumper_Stickers,Monkeys,Frail,?
"['Milwaukee', 'The_Earth', 'Dr._Kevorkin', 'Hopscotch', 'Brothers', 'Flies', 'Cactus']","['alluring', 'magnetic', 'charming']",,Milwaukee,The_Earth,Dr._Kevorkin,Hopscotch,Brothers,Flies,Cactus,Charismatic,?
"['Cary_Grant', 'Dragons', 'Ginseng', 'BB_Guns', 'Lemonade', 'Recycling', 'A_Honeymoon']","['crabby', 'cantankerous', 'grouchy']",,Cary_Grant,Dragons,Ginseng,BB_Guns,Lemonade,Recycling,A_Honeymoon,Cranky,234
"['Airplane', 'Ice_and_Snow', 'Band-Aids', 'Australian_Outback', 'Mr._Potato_Head', 'Carrots', 'Family_Values']","['fun', 'frisky', 'entertaining']",,Airplane,Ice_and_Snow,Band-Aids,Australian_Outback,Mr._Potato_Head,Carrots,Family_Values,Playful,5
"['A_Morgue', 'Pi¤atas', 'The_Last_Day_Of_School', 'Hamburgers', 'Blood', 'Pajamas', 'Cottage_Cheese']","['susceptible', 'sympathetic', 'tender']",,A_Morgue,Pi¤atas,The_Last_Day_Of_School,Hamburgers,Blood,Pajamas,Cottage_Cheese,Sensitive,25
"['Maggots', 'Donuts', 'Skateboarding', 'Watermelons', 'Red_Roses', 'Getting_A_Haircut', 'Timothy_McVey']","['aromatic', 'odorous', 'perfumed']",,Maggots,Donuts,Skateboarding,Watermelons,Red_Roses,Getting_A_Haircut,Timothy_McVey,Fragrant,245
"['Frogs', 'Chocolate_Milk', 'Carrots', 'Juggling', 'Freedom', 'Computers', 'Truck_Drivers']","['malicious', 'ill-tempered', 'petty']",,Frogs,Chocolate_Milk,Carrots,Juggling,Freedom,Computers,Truck_Drivers,Mean,7
"['Goats', 'Eleanor_Roosevelt', 'Hotels_and_Motels', 'Ice_Skating', 'Fourth_Of_July', 'My_Baby_Blanket', 'Going_On_Vacation']","['ghastly', 'hideous', 'grisly']",,Goats,Eleanor_Roosevelt,Hotels_and_Motels,Ice_Skating,Fourth_Of_July,My_Baby_Blanket,Going_On_Vacation,Gruesome,13
"['A_Leaky_Boat', 'Meatloaf', 'George_Washington', 'Soccer', 'The_1970s', 'Handcuffs', 'Walt_Disney']","['subdued', 'gentle', 'trained']",,A_Leaky_Boat,Meatloaf,George_Washington,Soccer,The_1970s,Handcuffs,Walt_Disney,Tame,237
"['Convenience_Stores', 'Mensa_High_IQ_Society', 'Bonbons', 'Thanksgiving_Day', 'Riding_A_Scooter', 'Dodo_Birds', 'Hummingbirds']","['incredible', 'far-fetched', 'impossible']",,Convenience_Stores,Mensa_High_IQ_Society,Bonbons,Thanksgiving_Day,Riding_A_Scooter,Dodo_Birds,Hummingbirds,Unbelievable,7
"['Saddam_Hussein', 'Climbing_A_Tree', 'Singing', 'Graffiti', 'Fred_and_Ginger', 'My_Baby_Blanket', 'My_Friends']","['dismal', 'sorrowful', 'bummed', 'out']",,Saddam_Hussein,Climbing_A_Tree,Singing,Graffiti,Fred_and_Ginger,My_Baby_Blanket,My_Friends,Woebegone,17
"['Grape_Jelly', 'Tony_Blair', 'A_Piano', 'Sushi', 'Hammerhead_Sharks', 'Garbage_Cans', 'Body_Odor']","['preposterous', 'absurd', 'ludicrous']",,Grape_Jelly,Tony_Blair,A_Piano,Sushi,Hammerhead_Sharks,Garbage_Cans,Body_Odor,Ridiculous,57
"['Ballerinas', 'Bells_and_Whistles', 'Blueberries', 'My_Friends', 'Soccer', 'Day_Care_Centers', 'California']","['psychotic', 'deranged', 'mad']",,Ballerinas,Bells_and_Whistles,Blueberries,My_Friends,Soccer,Day_Care_Centers,California,Insane,?
"['Loch_Ness_Monster', 'Sean_Connery', 'Love_Letters', 'Festering_Wounds', 'Burger_and_Fries', 'Adam_and_Eve', 'Peanut_Butter']","['useless', 'meaningless']",,Loch_Ness_Monster,Sean_Connery,Love_Letters,Festering_Wounds,Burger_and_Fries,Adam_and_Eve,Peanut_Butter,Worthless,347
"['Chain_Link_Fences', 'Psychiatrists', 'A_Mummy', 'Rugrats', 'Baby_Showers', 'Thunder_and_Lightning', ""Salt_'N_Pepa""]","['imaginative', 'artistic', 'original']",,Chain_Link_Fences,Psychiatrists,A_Mummy,Rugrats,Baby_Showers,Thunder_and_Lightning,Salt_'N_Pepa,Creative,47
"['The_Grand_Canyon', 'Water_Parks', 'The_U.S._Constitution', 'Getting_Head_Lice', 'Car_Horns', 'Slip_and_Fall', 'Fear_and_Loathing']","['gummy', 'pasty']",,The_Grand_Canyon,Water_Parks,The_U.S._Constitution,Getting_Head_Lice,Car_Horns,Slip_and_Fall,Fear_and_Loathing,Sticky,2
