7,6,5,synonyms,target,4,hand,3,1,2
Discos,Prince_Charming,Riding_A_Bike,"['demanding', 'exhausting', 'strenuous']",Grueling,Roller_Coaster,"['Kickball', 'The_French_Riviera', 'The_Godfather', 'Roller_Coaster', 'Riding_A_Bike', 'Prince_Charming', 'Discos']",The_Godfather,Kickball,The_French_Riviera
Local_Police,Ice,Hummingbirds,"['thoughtful', 'contemplative', 'wise']",Philosophical,Winning_The_Lottery,"['Count_Dracula', 'Hammer_and_Nails', 'Jell-O', 'Winning_The_Lottery', 'Hummingbirds', 'Ice', 'Local_Police']",Jell-O,Count_Dracula,Hammer_and_Nails
Burned_Toast,Pigeons,The_YMCA,"['gummy', 'rubbery', 'stringy']",Chewy,Starfish,"['Sports_Channels', 'Hook_and_Ladder_Trucks', 'Waffles', 'Starfish', 'The_YMCA', 'Pigeons', 'Burned_Toast']",Waffles,Sports_Channels,Hook_and_Ladder_Trucks
Monkeys,Bumper_Stickers,The_Land_Of_Oz,"['fragile', 'weak']",Frail,Pail_and_Shovel,"['Flannel_Shirts', 'Strawberries', 'Stretch_Limos', 'Pail_and_Shovel', 'The_Land_Of_Oz', 'Bumper_Stickers', 'Monkeys']",Stretch_Limos,Flannel_Shirts,Strawberries
Cactus,Flies,Brothers,"['alluring', 'magnetic', 'charming']",Charismatic,Hopscotch,"['Milwaukee', 'The_Earth', 'Dr._Kevorkin', 'Hopscotch', 'Brothers', 'Flies', 'Cactus']",Dr._Kevorkin,Milwaukee,The_Earth
A_Honeymoon,Recycling,Lemonade,"['crabby', 'cantankerous', 'grouchy']",Cranky,BB_Guns,"['Cary_Grant', 'Dragons', 'Ginseng', 'BB_Guns', 'Lemonade', 'Recycling', 'A_Honeymoon']",Ginseng,Cary_Grant,Dragons
Family_Values,Carrots,Mr._Potato_Head,"['fun', 'frisky', 'entertaining']",Playful,Australian_Outback,"['Airplane', 'Ice_and_Snow', 'Band-Aids', 'Australian_Outback', 'Mr._Potato_Head', 'Carrots', 'Family_Values']",Band-Aids,Airplane,Ice_and_Snow
Cottage_Cheese,Pajamas,Blood,"['susceptible', 'sympathetic', 'tender']",Sensitive,Hamburgers,"['A_Morgue', 'Pi¤atas', 'The_Last_Day_Of_School', 'Hamburgers', 'Blood', 'Pajamas', 'Cottage_Cheese']",The_Last_Day_Of_School,A_Morgue,Pi¤atas
Timothy_McVey,Getting_A_Haircut,Red_Roses,"['aromatic', 'odorous', 'perfumed']",Fragrant,Watermelons,"['Maggots', 'Donuts', 'Skateboarding', 'Watermelons', 'Red_Roses', 'Getting_A_Haircut', 'Timothy_McVey']",Skateboarding,Maggots,Donuts
Truck_Drivers,Computers,Freedom,"['malicious', 'ill-tempered', 'petty']",Mean,Juggling,"['Frogs', 'Chocolate_Milk', 'Carrots', 'Juggling', 'Freedom', 'Computers', 'Truck_Drivers']",Carrots,Frogs,Chocolate_Milk
Going_On_Vacation,My_Baby_Blanket,Fourth_Of_July,"['ghastly', 'hideous', 'grisly']",Gruesome,Ice_Skating,"['Goats', 'Eleanor_Roosevelt', 'Hotels_and_Motels', 'Ice_Skating', 'Fourth_Of_July', 'My_Baby_Blanket', 'Going_On_Vacation']",Hotels_and_Motels,Goats,Eleanor_Roosevelt
Walt_Disney,Handcuffs,The_1970s,"['subdued', 'gentle', 'trained']",Tame,Soccer,"['A_Leaky_Boat', 'Meatloaf', 'George_Washington', 'Soccer', 'The_1970s', 'Handcuffs', 'Walt_Disney']",George_Washington,A_Leaky_Boat,Meatloaf
Hummingbirds,Dodo_Birds,Riding_A_Scooter,"['incredible', 'far-fetched', 'impossible']",Unbelievable,Thanksgiving_Day,"['Convenience_Stores', 'Mensa_High_IQ_Society', 'Bonbons', 'Thanksgiving_Day', 'Riding_A_Scooter', 'Dodo_Birds', 'Hummingbirds']",Bonbons,Convenience_Stores,Mensa_High_IQ_Society
